id,subject,status,priority,created_at
26607,"Credit Card : Interstitial   : AXIS, RBL, INDUSIND, IDFC U ",18,4,2025-08-07T09:42:19Z
26606,Fouji Bus | WA,18,4,2025-08-07T09:31:12Z
26605,Your Guide to Index Funds & How to Invest in JioBlackRock NFOs via Paytm Money,18,4,2025-08-07T09:06:17Z
26604,Creatives for Rakhi,2,4,2025-08-07T08:45:22Z
26603,MF || Creative Request - Weekly SIP Stroy Widget || 07/08/2025,2,4,2025-08-07T07:49:50Z
26602,Image Required from image_id 605 to 610,18,1,2025-08-07T07:47:08Z
26601,Paytm Appstore Screens Edits,2,4,2025-08-07T07:37:45Z
26600,Co branded DQR for TASMAC ( govt project),18,1,2025-08-07T07:36:47Z
26599,Acer || Haier Brand Creatives - 2025 ,2,4,2025-08-07T06:27:35Z
26598,Travel Ad Revamp,18,3,2025-08-07T06:10:06Z
26597,RE: Figma welcome standee,5,1,2025-08-07T05:30:13Z
26596,Need Brand Logo & Images,18,1,2025-08-07T05:20:16Z
26595,Paper roll Campaign,18,1,2025-08-07T04:58:49Z
26594,DCC - Video - Edit,18,1,2025-08-06T16:05:27Z
26593,Cafeteria- Idea 2 (photo frames on wall),11,1,2025-08-06T13:29:14Z
26592,Bus | Blogs,18,4,2025-08-06T12:11:32Z
26591,New storefront for LAMF - For awareness,10,1,2025-08-06T12:07:00Z
26590,PPSL | Blog Banner for Akash Case Study,18,1,2025-08-06T11:43:24Z
26589,PPSL | Independence Day Creative (Whatsapp and Emailer),18,1,2025-08-06T11:30:11Z
26588,LFR Creatives,11,1,2025-08-06T11:11:27Z
26587,ITDC premium QR,21,4,2025-08-06T09:47:34Z
26586,Independence & Janmashtami| Long weekend | Mailer,11,4,2025-08-06T08:55:45Z
26585,Design Request | Brand EMI Creative | Urgent | 6th Aug'25,21,4,2025-08-06T08:33:53Z
26584,Video set 1 | August,11,1,2025-08-06T08:14:11Z
26583,"Need Edited Video as per brand guidelines for Gemini AI Video with Captions, Intro & Outro",21,1,2025-08-06T07:24:25Z
26582,Website Playbook,22,1,2025-08-06T06:39:19Z
26581,JKSRTC | Bus,18,4,2025-08-06T06:29:51Z
26580,URC LFR Generic User Flow,5,3,2025-08-06T05:30:34Z
26579,URC LFR Mid Market User flow,5,3,2025-08-06T05:29:04Z
26578,URC Premium LFR User flow,5,3,2025-08-06T05:26:34Z
26577,URC New and React User Flow,5,3,2025-08-06T05:25:05Z
26576,Osaka World Expo Videos,5,3,2025-08-06T05:24:53Z
26575,URC Repeat User Flow,5,3,2025-08-06T05:23:25Z
26574,RBL Bus | 1 Edit,5,4,2025-08-06T04:36:58Z
26573,Festive Campaign Creatives | Walk in Promotion | 5th Aug'25,19,4,2025-08-05T15:42:05Z
26572,Creative Request | Edit | Non ICA Enabled Merchants | 5th Aug'25,5,4,2025-08-05T11:28:30Z
26571,Consent for credit score check,10,1,2025-08-05T11:17:43Z
26570,Raksha Bandhan Creatives,2,4,2025-08-05T11:09:06Z
26569,Urgent!! Banner Needed for Rent(New 3D theme) || Promocode-RENT400 || Unlock up to ₹400 Cashback Voucher on Rent,21,4,2025-08-05T10:59:31Z
26568,Consumer Tent card - EMI,21,4,2025-08-05T10:58:45Z
26567,MF || WA Journey Creative Request || 05/08/2025,2,4,2025-08-05T10:36:32Z
26566,Poster (16:9) TSP BAPA Onboarding,5,4,2025-08-05T10:13:34Z
26565,MF || WA Journey Banner Edit / Creation Request || 05/08/2025,11,4,2025-08-05T09:48:45Z
26564,P12 Device branding,18,2,2025-08-05T09:02:09Z
26563,Vivo V60 || New Product Launch - Offer Creative,2,4,2025-08-05T08:39:10Z
26562,Oneplus || Live on Device,11,4,2025-08-05T08:21:33Z
26561,Re: Newspaper Advertisement | 25th AGM | One 97 Communications Limited,5,1,2025-08-05T08:18:14Z
26560,Hindi- e user Manual for Mahakumbh Sb1 & 2,2,1,2025-08-05T08:18:10Z
26559,STW Banner for PTS,2,4,2025-08-05T07:18:38Z
26558,increase gmv,5,1,2025-08-05T06:11:49Z
26557,Need Edited Video as per brand guidelines for Gemini AI Video for OE Stage- KYC_SELFIE_UPLOADED(Digilocker),5,1,2025-08-05T06:08:17Z
26556,Adapt Request | Screensaver | IC & DCC | 5 Aug'25,5,4,2025-08-05T04:28:27Z
26555,Urgent!! RU-Rent || Adapts needed ||RENTNEW,5,4,2025-08-04T18:04:36Z
26554,Merchant Meet up - Bengaluru,17,4,2025-08-04T13:42:00Z
26553,cobranded morefun dqr westside,5,4,2025-08-04T12:48:00Z
26552,Voltas & Voltas Beko Bose || Bose || Samsung CE,21,4,2025-08-04T11:18:09Z
26551,LENSKART banners are required in Rakhi Theme_Aug'25,5,4,2025-08-04T11:16:51Z
26550,CCAMAZON required in rakhi theme,5,4,2025-08-04T11:14:05Z
26549,CCBPGOLD5 required in Rakhi theme_aug'25,5,4,2025-08-04T11:11:31Z
26548,Loan and Insurance | Independence day themed banners_2025,5,4,2025-08-04T10:34:32Z
26547,Bus | Insurance,18,4,2025-08-04T10:17:27Z
26546,IR Deck Updated 3rd time,5,4,2025-08-04T10:11:30Z
26545,Need SS for Himalaya Baby wipes,5,4,2025-08-04T10:07:42Z
26544,YES bank | Edit,21,4,2025-08-04T09:56:32Z
26543,Need SS for Himalaya Ghee,5,4,2025-08-04T09:38:08Z
26542,Bus | All features,18,4,2025-08-04T09:26:15Z
26541,Travel App | Video,18,4,2025-08-04T09:19:28Z
26540,DTHNEW_Independence day theme,5,4,2025-08-04T08:30:35Z
26539,DTHAGAIN_Independence day theme,5,4,2025-08-04T08:24:54Z
26538,DTH100_Independence day theme,5,4,2025-08-04T08:21:37Z
26537,ID Cashback Campaign -  Parota and Batter Creatives,18,1,2025-08-04T07:30:12Z
26536,DTH100_Rakhi Theme,5,4,2025-08-04T07:26:50Z
26535,Whatsapp wish post for Independence day- English & hindi,21,1,2025-08-04T07:22:10Z
26534,Need Images for Top Brands GV,5,1,2025-08-04T05:37:21Z
26533,Figma welcome standee,5,4,2025-08-04T05:28:45Z
26532,Pillar branding.,2,1,2025-08-04T05:21:57Z
26531,Hotel | Long Weekend,2,4,2025-08-04T04:58:02Z
26530,JAS | 1 Bank,21,4,2025-08-04T04:53:27Z
26529,CLM Campaign - Plan Upgrade,5,1,2025-08-03T17:43:17Z
26528,How to enable Brand EMI on Paytm Card Machine - Video script,18,1,2025-08-03T17:21:09Z
26527,Creative for a PR,5,4,2025-08-02T13:30:18Z
26526,RU-Rent || Adapts needed || Lowest convenience Fee,5,4,2025-08-01T20:36:27Z
26525,We are planning to launch a new product called 'Loan against Mutual Fund' (LAMF).  This product will allow users to get creditline of up to 10k to 2 Crs depending upon mutual fund portfolio with Interest rates starting from 9.5%. Request you to design ban,5,1,2025-08-01T13:29:27Z
26524,To Sent winners e-certificate to the Paytm Dare to Dream contest winners,5,4,2025-08-01T11:47:01Z
26523,Need Digital Thin Banner for Common Store,11,1,2025-08-01T11:40:13Z
26522,Additions required in Pitch Deck-3,21,4,2025-08-01T10:06:43Z
26521,Need Logo for Deals,5,1,2025-08-01T09:08:00Z
26520,GPRC interstitial banner_Clash on Clans and generic banner_AUg,5,4,2025-08-01T08:57:44Z
26519,MF || Market Volatility - Story Widget Request || 01/08/2025,10,4,2025-08-01T08:08:14Z
26518,RE: Hardwork typography for 7th floor,5,1,2025-08-01T07:23:57Z
26517,Friendship Day theme - Split bill,5,1,2025-08-01T07:19:10Z
26516,Rakhi theme for UPI,11,3,2025-08-01T07:15:06Z
26515,Rakhi new theme for RU,5,4,2025-08-01T07:12:32Z
26514,I'day banners templates,5,3,2025-08-01T07:09:18Z
26513,Indepenence day theme - RU,5,3,2025-08-01T07:05:44Z
26512,Refresh banner for video page redirection,21,1,2025-08-01T06:53:10Z
26511,H1-Banner Widget Required in Line with Banner 2.0 Format,21,4,2025-08-01T06:41:26Z
26510,MYNTRADEAL_Aug,5,1,2025-08-01T06:39:23Z
26509,ELECFLAT20_Aug,5,1,2025-08-01T06:37:43Z
26508,ELEC25_Aug,5,1,2025-08-01T06:36:16Z
26507,Re: Sampling of 'Speed is our bet' typography for pillar branding- 17th floor,5,1,2025-08-01T06:35:20Z
